"","sp","taxo","group_kernels","group_detection","group_atlas"
"229","Wild Turkey",1553,"","",""
"230","Wild Turkey (Domestic type)",1559.5,"","",""
"231","Red-throated Loon",1561,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"232","Arctic Loon",1562,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"233","Pacific Loon",1565,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"234","Arctic/Pacific Loon",1566,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"235","Common Loon",1567,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"236","Yellow-billed Loon",1568,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"237","Common/Yellow-billed Loon",1569,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"238","loon sp.",1570,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"239","Pied-billed Grebe",1601,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"240","Horned Grebe",1611,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"241","Red-necked Grebe",1614,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"242","Eared Grebe",1621,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"243","Horned/Eared Grebe",1625,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"244","Podiceps sp.",1632,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"245","Western Grebe",1633,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"246","Clark's Grebe",1637,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"247","Western x Clark's Grebe (hybrid)",1639.5,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"248","Western/Clark's Grebe",1640,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"249","grebe sp.",1641,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"250","American Flamingo",1642,"shorebirds_waders","",""
"251","Greater Flamingo",1643,"shorebirds_waders","",""
"252","flamingo sp.",1649,"shorebirds_waders","",""
"253","Yellow-nosed Albatross",1682,"seabirds_pelagics","",""
"254","Black-browed Albatross",1692,"seabirds_pelagics","",""
"255","Laysan Albatross",1709,"seabirds_pelagics","",""
"256","Black-footed Albatross",1711,"seabirds_pelagics","",""
"257","Short-tailed Albatross",1712,"seabirds_pelagics","",""
"258","Northern Fulmar",1716,"seabirds_pelagics","Fulmars","Fulmars"
"259","Northern Fulmar",1717,"seabirds_pelagics","Fulmars","Fulmars"
"260","Northern Fulmar",1719,"seabirds_pelagics","Fulmars","Fulmars"
"261","Murphy's Petrel",1739,"seabirds_pelagics","Shearwaters","Shearwaters"
"262","Fea's Petrel",1743,"seabirds_pelagics","Shearwaters","Shearwaters"
"263","Mottled Petrel",1755,"seabirds_pelagics","Shearwaters","Shearwaters"
"264","Bermuda Petrel",1756,"seabirds_pelagics","Shearwaters","Shearwaters"
"265","Black-capped Petrel",1757,"seabirds_pelagics","Shearwaters","Shearwaters"
"266","Black-capped Petrel",1758,"seabirds_pelagics","Shearwaters","Shearwaters"
"267","Hawaiian Petrel",1763,"seabirds_pelagics","Shearwaters","Shearwaters"
"268","Cook's Petrel",1769,"seabirds_pelagics","Shearwaters","Shearwaters"
"269","Pterodroma sp.",1780,"seabirds_pelagics","Shearwaters","Shearwaters"
"270","Cory's Shearwater",1806,"seabirds_pelagics","Shearwaters","Shearwaters"
"271","Cory's Shearwater",1807,"seabirds_pelagics","Shearwaters","Shearwaters"
"272","Cory's Shearwater",1808,"seabirds_pelagics","Shearwaters","Shearwaters"
"273","Pink-footed Shearwater",1810,"seabirds_pelagics","Shearwaters","Shearwaters"
"274","Flesh-footed Shearwater",1811,"seabirds_pelagics","Shearwaters","Shearwaters"
"275","Great Shearwater",1812,"seabirds_pelagics","Shearwaters","Shearwaters"
